³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-29 09,4153563,0,2930616,6000,6000,7084179
2023-10-29 09,4153563,500,2930616,6000,6500,7084179
2023-10-29 09,4227526,400,2930616,6000,6400,7158142
2023-10-29 09,4227526,400,2856416,6100,6500,7083942
2023-10-29 09,4301689,300,2782226,6200,6500,7083915
2023-10-29 09,4524078,0,2633856,6400,6400,7157934
2023-10-29 10,4523555,0,2633856,6400,6400,7157412
2023-10-29 11,4523555,0,2633856,6400,6400,7157412
2023-10-29 12,4523555,0,2633856,6400,6400,7157412
2023-10-29 13,4523555,0,2633856,6400,6400,7157412
2023-10-29 14,4523555,0,2633856,6400,6400,7157412
2023-10-29 15,4523555,0,2633856,6400,6400,7157412
2023-10-29 16,4523555,0,2633856,6400,6400,7157412
2023-10-29 17,4523555,0,2633856,6400,6400,7157412
2023-10-29 18,4523555,0,2633856,6400,6400,7157412
2023-10-29 18,4373480,199,2783916,6200,6399,7157397
2023-10-29 19,4448343,99,2634276,6400,6499,7082619
2023-10-29 19,22305,0,7134276,6400,6400,7156582
2023-10-29 19,22305,0,7134276,399,399,7156582
2023-10-29 19,22305,6000,7134276,399,6399,7156582
2023-10-29 20,22305,6000,7134276,399,6399,7156582
2023-10-29 20,173030,5800,6983626,599,6399,7156656
2023-10-29 21,173030,5800,6983626,599,6399,7156656
2023-10-29 21,248492,5700,6908196,699,6399,7156688
2023-10-29 21,701166,5100,6455706,1299,6399,7156872
2023-10-29 21,701166,5100,6380276,1399,6499,7081442
2023-10-29 21,1455788,4100,5701396,2299,6399,7157184
2023-10-29 21,1606713,3900,5550536,2499,6399,7157249
2023-10-29 21,1833100,3600,5324246,2799,6399,7157346
2023-10-29 21,1833100,3600,5323490,2800,6400,7156590
2023-10-29 21,1908462,3500,5248060,2900,6400,7156523
2023-10-29 22,1908462,3500,5248060,2900,6400,7156523
2023-10-29 22,2059187,3300,5097400,3100,6400,7156587
2023-10-29 22,2662085,2500,4494800,3900,6400,7156886
2023-10-29 22,2812810,2300,4344120,4100,6400,7156930
2023-10-29 22,2737572,2400,4419340,4000,6400,7156913
2023-10-29 22,2962959,2100,4193970,4300,6400,7156930
2023-10-29 23,2962959,2100,4193970,4300,6400,7156930
2023-10-29 23,3038222,2000,4118730,4400,6400,7156952
2023-10-30 00,3038222,2000,4118730,4400,6400,7156952
2023-10-30 00,3490995,1400,3666150,5000,6400,7157146
2023-10-30 00,4319980,300,2837520,6100,6400,7157501
2023-10-30 00,4546067,0,2536200,6500,6500,7082268
2023-10-30 01,4546067,0,2536200,6500,6500,7082268
2023-10-30 02,4546067,0,2536200,6500,6500,7082268
2023-10-30 03,4546067,0,2536200,6500,6500,7082268
2023-10-30 04,4546067,0,2536200,6500,6500,7082268
2023-10-30 05,4546067,0,2536200,6500,6500,7082268
2023-10-30 06,4546067,0,2536200,6500,6500,7082268
2023-10-30 07,4546067,0,2536200,6500,6500,7082268
2023-10-30 07,4243340,400,2913550,6000,6400,7156891
2023-10-30 08,4243340,400,2913550,6000,6400,7156891
2023-10-30 09,4243340,400,2913550,6000,6400,7156891
2023-10-30 09,4469727,100,3441410,5300,5400,7911138
2023-10-30 09,3714350,1100,3441410,5300,6400,7155760
