³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-11-07 00,2060341,4670,5093854,1707,6378,7154195
2023-11-07 00,2252845,4470,4901414,1907,6378,7154259
2023-11-07 00,2541600,4170,4612844,2207,6378,7154445
2023-11-07 00,2637952,4070,4516474,2307,6378,7154426
2023-11-07 00,3023359,3670,4131294,2707,6378,7154654
2023-11-07 00,3119611,3570,4034984,2807,6378,7154595
2023-11-07 00,3215963,3470,3938664,2907,6378,7154627
2023-11-07 00,1293002,5470,5861864,907,6378,7154866
2023-11-07 00,1872312,4870,5282794,1507,6378,7155106
2023-11-07 00,2451222,4270,4704174,2107,6378,7155397
2023-11-07 00,2740877,3970,4414804,2407,6378,7155682
2023-11-07 00,3126684,3570,4029144,2807,6378,7155829
2023-11-07 00,3608943,3070,3547104,3307,6378,7156048
2023-11-07 00,3994750,2670,3161474,3707,6378,7156225
2023-11-07 00,2059783,4670,5096874,1707,6378,7156658
2023-11-07 00,1094301,5670,6062574,707,6378,7156875
2023-11-07 00,1190952,5570,5965964,807,6378,7156917
2023-11-07 00,1287704,5470,5869214,907,6378,7156918
2023-11-07 00,1384256,5370,5772704,1007,6378,7156960
2023-11-07 00,1577359,5170,5579664,1207,6378,7157024
2023-11-07 00,1769863,4970,5387224,1407,6378,7157087
2023-11-07 00,1865715,4870,5291364,1507,6378,7157079
2023-11-07 00,2152971,4570,5004224,1807,6378,7157196
2023-11-07 00,1194492,5570,5962824,807,6378,7157317
2023-11-07 00,1290044,5470,5867294,907,6378,7157339
2023-11-07 00,1385796,5370,5771534,1007,6378,7157331
2023-11-07 00,1672653,5070,5484794,1307,6378,7157447
2023-11-07 00,2245067,4470,4912614,1907,6378,7157681
2023-11-07 00,2340619,4370,4817114,2007,6378,7157733
2023-11-07 00,1385141,5370,5772714,1007,6378,7157856
2023-11-07 00,425662,6369,6732614,7,6376,7158276
2023-11-07 01,425662,6369,6732614,7,6376,7158276
2023-11-07 01,710219,6069,6448194,307,6376,7158414
2023-11-07 01,804772,5969,6353694,407,6376,7158467
2023-11-07 01,899425,5869,6259024,507,6376,7158449
2023-11-07 01,994877,5769,6163584,607,6376,7158461
2023-11-07 01,1090129,5669,6068364,707,6376,7158494
2023-11-07 01,1185382,5569,5973084,807,6376,7158466
2023-11-07 01,1185382,5469,5973084,807,6276,7158466
2023-11-07 01,1565192,5169,5593474,1207,6376,7158666
2023-11-07 01,1755097,4969,5403644,1407,6376,7158741
2023-11-07 01,2229859,4469,4929114,1907,6376,7158974
2023-11-07 01,2514717,4169,4644384,2207,6376,7159101
2023-11-07 01,2704622,3969,4454564,2407,6376,7159186
2023-11-07 01,2799674,3869,4359474,2507,6376,7159149
2023-11-07 02,2799674,3869,4359474,2507,6376,7159149
2023-11-07 02,2894627,3769,4264514,2607,6376,7159141
2023-11-07 02,2989479,3669,4169664,2707,6376,7159144
2023-11-07 02,3179784,3469,3979474,2907,6376,7159258
2023-11-07 02,3274936,3369,3884354,3007,6376,7159291
2023-11-07 02,3750099,2869,3409324,3507,6376,7159423
2023-11-07 02,4129809,2469,3029704,3907,6376,7159513
2023-11-07 02,5641053,869,1613154,5407,6276,7254207
2023-11-07 02,6396175,69,763624,6307,6376,7159799
2023-11-07 03,4498226,2069,2661545,4307,6376,7159772
2023-11-07 03,3549752,3068,3610077,3307,6375,7159830
2023-11-07 04,3549752,3068,3610077,3307,6375,7159830
2023-11-07 04,3833411,2768,3420737,3507,6275,7254149
2023-11-07 04,5347453,1168,1905517,5107,6275,7252971
2023-11-07 04,6388632,68,864137,6207,6275,7252770
2023-11-07 05,6388632,68,864137,6207,6275,7252770
2023-11-07 06,6388632,68,864137,6207,6275,7252770
2023-11-07 06,5808656,668,1444397,5607,6275,7253054
2023-11-07 07,6388566,68,864747,6207,6275,7253314
2023-11-07 07,6388566,68,744122,6332,6400,7132689
2023-11-07 07,607677,6068,6522222,332,6400,7129900
2023-11-07 07,703829,5968,6426102,432,6400,7129932
2023-11-07 07,799981,5868,6329972,532,6400,7129954
2023-11-07 07,1376892,5268,5753272,1132,6400,7130165
2023-11-07 07,417413,6268,6712972,132,6400,7130386
2023-11-07 08:00:00,417413,6268,6712972,132,6400,7130386
2023-11-07 08,1566438,5068,5564444,1332,6400,7130882
2023-11-07 08,1662090,4968,5468754,1432,6400,7130844
2023-11-07 08,1949046,4668,5181954,1732,6400,7131001
2023-11-07 08,2331555,4268,4799514,2132,6400,7131069
2023-11-07 08,2427007,4168,4704004,2232,6400,7131012
2023-11-07 08,2522460,4068,4608594,2332,6400,7131054
2023-11-07 08,3955743,2568,3175966,3832,6400,7131709
2023-11-07 08,4051295,2368,3080456,3932,6300,7131751
2023-11-07 08,4625208,1868,2506816,4532,6400,7132024
2023-11-07 08,6346946,68,785966,6332,6400,7132912
2023-11-07 08,638093,6068,6495766,332,6400,7133859
2023-11-07 09,638093,6068,6495766,332,6400,7133859
2023-11-07 09,1017304,5668,6116766,732,6400,7134070
2023-11-07 09,1870077,4768,5264384,1632,6400,7134462
2023-11-07 09,2343740,4268,4791014,2132,6400,7134755
2023-11-07 09,3101561,3468,4033534,2932,6400,7135096
2023-11-07 09,3479372,3068,3656114,3332,6400,7135487
2023-11-07 09,3953135,2568,3182574,3832,6400,7135710
2023-11-07 09,4237393,2268,2898474,4132,6400,7135867
2023-11-07 09,4995114,1468,2140894,4932,6400,7136008
2023-11-07 09,5847887,568,1288354,5832,6400,7136242
2023-11-07 09,6322150,68,814311,6332,6400,7136461
2023-11-07 09,659320,6065,6477239,332,6397,7136559
2023-11-07 09,1502898,5165,5635369,1232,6397,7138267
2023-11-07 09,3921288,2565,3225897,3832,6397,7147185
2023-11-07 09,5029933,1365,2120180,5032,6397,7150114
2023-11-07 09,488945,6265,6684603,132,6397,7173548
2023-11-07 09,580499,6165,6593113,232,6397,7173613
2023-11-07 09,763207,5965,6410513,432,6397,7173721
2023-11-07 09,398080,6365,6777753,32,6397,7175833
2023-11-07 09,941408,5765,6234743,632,6397,7176152
2023-11-07 09,1306125,5365,5869953,1032,6397,7176079
2023-11-07 09,1488634,5165,5687513,1232,6397,7176148
2023-11-07 09,1853751,4765,5322553,1632,6397,7176305
2023-11-07 09,939294,5765,6236879,632,6397,7176174
2023-11-07 09,1305111,5365,5871292,1032,6397,7176404
2023-11-07 09,1579274,5065,5597042,1332,6397,7176317
2023-11-07 09,663817,6065,6512542,332,6397,7176360
2023-11-07 09,1303997,5365,5872682,1032,6397,7176679
2023-11-07 09,1486905,5165,5689722,1232,6397,7176628
2023-11-07 09,753655,5965,6424622,432,6397,7178278
2023-11-07 09,1214425,5465,5964062,932,6397,7178487
2023-11-07 09,1490687,5165,5687852,1232,6397,7178539
2023-11-07 09,1675694,4965,5502812,1432,6397,7178507
2023-11-07 09,748231,5965,6430112,432,6397,7178343
2023-11-07 09,1489160,5165,5782122,1132,6297,7271283
2023-11-07 09,1951929,4665,5227062,1732,6397,7178991
2023-11-07 10,2044182,4565,5134872,1832,6397,7179055
2023-11-07 10,2136236,4465,5042872,1932,6397,7179109
2023-11-07 10,2412398,4165,4766822,2232,6397,7179221
2023-11-07 10,1492939,5165,5686322,1232,6397,7179261
2023-11-07 10,1677446,4965,5501902,1432,6397,7179349
2023-11-07 10,2232169,4365,4947392,2032,6397,7179561
2023-11-07 10,2417276,4165,4762401,2232,6397,7179678
2023-11-07 10,4359105,2065,2821671,4332,6397,7180777
2023-11-07 10,4636266,1765,2544571,4632,6397,7180838
2023-11-07 10,5279515,1065,1901278,5332,6397,7180793
2023-11-07 10,6208350,65,972698,6332,6397,7181048
2023-11-07 10,6205146,65,976638,6332,6397,7181785
2023-11-07 10,6205146,65,972592,6336,6402,7177738
2023-11-07 10,6205146,65,974612,6334,6400,7179758
2023-11-07 11,6205146,65,974612,6334,6400,7179758
2023-11-07 11,2204146,65,4974612,6334,6400,7178758
2023-11-07 11,2204146,4065,4973349,2334,6400,7177496
2023-11-07 11,2387254,3865,4790309,2534,6400,7177564
2023-11-07 11,2845025,3365,4332829,3034,6400,7177855
2023-11-07 11,4859218,1165,2319969,5234,6400,7179187
2023-11-07 11,5866314,65,1313499,6334,6400,7179814
2023-11-07 12,5866314,65,1313499,6334,6400,7179814
2023-11-07 12,327546,6065,6851853,334,6400,7179400
2023-11-07 12,327546,6065,6851786,334,6400,7179333
2023-11-07 12,419700,5965,6759666,434,6400,7179367
2023-11-07 12,511854,5865,6667576,534,6400,7179431
2023-11-07 12,603908,5765,6575556,634,6400,7179465
2023-11-07 12,695962,5665,6483536,734,6400,7179499
2023-11-07 12,879970,5465,6299526,934,6400,7179497
2023-11-07 12,1156131,5165,6023496,1234,6400,7179628
2023-11-07 12,1340239,4965,5839466,1434,6400,7179706
2023-11-07 13,1340239,4965,5839466,1434,6400,7179706
2023-11-07 13,3271273,2865,3909396,3534,6400,7180670
2023-11-07 13,5570123,365,1611846,6034,6400,7181970
2023-11-07 13,5845985,65,1336126,6334,6400,7182112
2023-11-07 13:53,5845985,65,1336126,6334,6400,7182112
2023-11-07 13:54,5845985,65,1336126,6334,6400,7182112
2023-11-07 13:55,5845985,65,1336126,6334,6400,7182112
2023-11-07 13:56,5845985,65,1336126,6334,6400,7182112
2023-11-07 13:57,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:04,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:07,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:11,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:12,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:13,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:14,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:15,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:16,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:17,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:18,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:19,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:20,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:21,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:22,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:23,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:24,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:25,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:26,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:27,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:28,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:29,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:30,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:31,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:32,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:33,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:34,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:35,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:36,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:37,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:38,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:39,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:40,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:41,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:42,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:43,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:44,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:45,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:46,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:47,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:48,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:49,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:50,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:51,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:52,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:53,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:54,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:55,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:56,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:57,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:58,5845985,65,1336126,6334,6400,7182112
2023-11-07 14:59,5845985,65,1336126,6334,6400,7182112
2023-11-07 15:00,5845985,65,1336126,6334,6400,7182112
2023-11-07 15:01,5845985,65,1336126,6334,6400,7182112
2023-11-07 15:02,3995060,2065,3187093,4334,6400,7182153
2023-11-07 15:03,3995060,2065,3187093,4334,6400,7182153
2023-11-07 15:04,3995060,2065,3187093,4334,6400,7182153
2023-11-07 15:04,4272422,1765,2909843,4634,6400,7182265
2023-11-07 15:04,4549483,1465,2632923,4934,6400,7182406
2023-11-07 15:05,4549483,1465,2632923,4934,6400,7182406
2023-11-07 15:06,4549483,1465,2632923,4934,6400,7182406
2023-11-07 15:06,4641837,1365,2540604,5034,6400,7182442
2023-11-07 15:07,5565375,365,1617654,6034,6400,7183030
2023-11-07 15:08,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:09,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:10,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:11,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:12,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:13,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:14,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:15,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:16,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:17,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:18,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:19,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:20,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:21,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:22,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:23,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:24,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:25,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:26,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:27,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:28,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:29,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:30,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:31,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:32,5842136,65,1341054,6334,6400,7183191
2023-11-07 15:33,5842136,65,1341054,6334,6400,7183191
